archip;common_name;species;iucn_category_2021;description;story
None;Orange-Bellied Parrot;Neophema Chrysogaster;CR;Critically Endangered;
None;Orange-Billed Babbler;Argya Rufescens;NT;Near Threatened;
None;Orange-Breasted Falcon;Falco Deiroleucus;NT;Near Threatened;
None;Orange-Cheeked Parrot;Pyrilia Barrabandi;NT;Near Threatened;
None;Orange-Fronted Parakeet;Eupsittula Canicularis;VU;Vulnerable;
None;Orange-Necked Partridge;Arborophila Davidi;NT;Near Threatened;
None;Orange-Spotted Bulbul;Pycnonotus Bimaculatus;NT;Near Threatened;
None;Orange-Throated Tanager;Wetmorethraupis Sterrhopteron;VU;Vulnerable;
None;Oriental Darter;Anhinga Melanogaster;NT;Near Threatened;
None;Orinoco Goose;Neochen Jubata;NT;Near Threatened;
None;Orinoco Softtail;Thripophaga Cherriei;VU;Vulnerable;
None;Orinoco Spinetail;Synallaxis Beverlyae;NT;Near Threatened;
None;Ornate Hawk-Eagle;Spizaetus Ornatus;NT;Near Threatened;
None;Oustalet'S Tyrannulet;Phylloscartes Oustaleti;NT;Near Threatened;
None;Ouvea Parakeet;Eunymphicus Uvaeensis;VU;Vulnerable;
None;Northern Rockhopper Penguin;Eudyptes Moseleyi;EN;Endangered;With its flamboyant yellow crest and red eyes, this penguin is a charismatic inhabitant of sub-Antarctic islands. It dives gracefully for fish in icy waters but faces threats from warming seas and overfishing.
None;Pacific Royal Flycatcher;Onychorhynchus Occidentalis;VU;Vulnerable;
None;Northern Royal Albatross;Diomedea Sanfordi;EN;Endangered;This majestic bird glides effortlessly over vast oceans, its white body and black-edged wings a testament to nature's grace. Its haunting wails carry across wind-swept cliffs during breeding season. Overfishing and climate change-induced shifts in prey distribution have placed this species in peril.
None;Painted Honeyeater;Grantiella Picta;VU;Vulnerable;
None;Painted Stork;Mycteria Leucocephala;NT;Near Threatened;
None;Palani Chilappan;Montecincla Fairbanki;NT;Near Threatened;
None;Reunion Cuckooshrike;Lalage Newtoni;CR;Critically Endangered;A once-vibrant songbird of Reunion Island, it sported a glossy black head and striking grey plumage. Habitat loss and predation by introduced species sealed its fate.
None;Palau Kingfisher;Todiramphus Pelewensis;NT;Near Threatened;
None;Palau Nightjar;Caprimulgus Phalaena;NT;Near Threatened;
None;Palawan Blue-Flycatcher;Cyornis Lemprieri;NT;Near Threatened;
None;Palawan Fairy-Bluebird;Irena Tweeddalii;NT;Near Threatened;
None;Palawan Flycatcher;Ficedula Platenae;VU;Vulnerable;
None;Palawan Hornbill;Anthracoceros Marchei;VU;Vulnerable;
None;Palawan Peacock-Pheasant;Polyplectron Napoleonis;VU;Vulnerable;
None;Palawan Scops-Owl;Otus Fuliginosus;NT;Near Threatened;
None;Palawan Striped Babbler;Zosterornis Hypogrammicus;NT;Near Threatened;
None;Palawan Tit;Pardaliparus Amabilis;NT;Near Threatened;
None;Pale-Bellied Myna;Acridotheres Cinereus;VU;Vulnerable;
None;Pale-Billed Sicklebill;Drepanornis Bruijnii;NT;Near Threatened;
South America;Pale-Browed Tinamou;Crypturellus Transfasciatus;NT;Near Threatened;
None;Pale-Capped Pigeon;Columba Punicea;VU;Vulnerable;
None;Pale-Throated Barbet;Gymnobucco Vernayi;VU;Vulnerable;
None;Pale-Throated Wren-Babbler;Spelaeornis Kinneari;VU;Vulnerable;
None;Palila;Loxioides Bailleui;CR;Critically Endangered;
None;Pallas'S Fish-Eagle;Haliaeetus Leucoryphus;EN;Endangered;
None;Pallid Harrier;Circus Macrourus;NT;Near Threatened;
None;Palm Lorikeet;Charmosyna Palmarum;VU;Vulnerable;
None;Pampas Meadowlark;Leistes Defilippii;VU;Vulnerable;
None;Panay Striped Babbler;Zosterornis Latistriatus;NT;Near Threatened;
None;Papuan Eagle;Harpyopsis Novaeguineae;VU;Vulnerable;
None;Papyrus Gonolek;Laniarius Mufumbiri;NT;Near Threatened;
None;Papyrus Yellow Warbler;Calamonastides Gracilirostris;VU;Vulnerable;
None;Okinawa Rail;Hypotaenidia Okinawae;EN;Endangered;This flightless rail, with its dark plumage and red bill, is an elusive resident of Okinawa's forests. It forages for insects and small animals on the forest floor. Habitat destruction and roadkill are significant threats to its survival.
None;Paramillo Tapaculo;Scytalopus Canus;NT;Near Threatened;
None;Parana Antwren;Formicivora Acutirostris;NT;Near Threatened;
None;Paria Barbtail;Premnoplex Pariae;EN;Endangered;
None;Paria Brush-Finch;Arremon Phygas;VU;Vulnerable;
None;Paria Whitestart;Myioborus Pariae;EN;Endangered;
None;Parodi'S Hemispingus;Kleinothraupis Parodii;NT;Near Threatened;
None;Partridge Pigeon;Geophaps Smithii;VU;Vulnerable;
None;Pearl-Bellied White-Eye;Zosterops Grayi;NT;Near Threatened;
None;Pearly Parakeet;Pyrrhura Lepida;VU;Vulnerable;
None;Pearly-Breasted Conebill;Conirostrum Margaritae;VU;Vulnerable;
None;Pectoral Antwren;Herpsilochmus Pectoralis;VU;Vulnerable;
None;Pemba Green-Pigeon;Treron Pembaensis;VU;Vulnerable;
None;Pemba Scops-Owl;Otus Pembaensis;VU;Vulnerable;
None;Perija Antpitta;Grallaria Saltuensis;EN;Endangered;
None;Perija Brush-Finch;Arremon Perijanus;VU;Vulnerable;
None;Perija Metaltail;Metallura Iracunda;EN;Endangered;
None;Oriental Stork;Ciconia Boyciana;EN;Endangered;Tall and stately, this bird's white feathers and contrasting black wingtips create a striking silhouette. Its loud clattering calls resonate during courtship displays, a ritual tied deeply to Asian culture. Drained wetlands and habitat conversion have drastically reduced its numbers, leaving it endangered.
None;Perija Parakeet;Pyrrhura Caeruleiceps;EN;Endangered;
None;Perija Starfrontlet;Coeligena Consita;EN;Endangered;
None;Palau Ground-Dove;Alopecoenas Canifrons;EN;Endangered;A shy and elusive bird, it sports soft brown and gray plumage that blends seamlessly into the forest floor. Its low, cooing calls add an air of mystery to its remote island home. Habitat loss and invasive species have pushed this dove to the brink of extinction.
None;Perija Tapaculo;Scytalopus Perijanus;NT;Near Threatened;
None;Perija Thistletail;Asthenes Perijana;EN;Endangered;
None;Pernambuco Foliage-Gleaner;Automolus Lammi;EN;Endangered;
None;Peruvian Antpitta;Grallaricula Peruviana;NT;Near Threatened;
None;Peruvian Diving-Petrel;Pelecanoides Garnotii;NT;Near Threatened;
None;Peruvian Martin;Progne Murphyi;NT;Near Threatened;
None;Pale-Headed Brush-Finch;Atlapetes Pallidiceps;EN;Endangered;Endemic to Ecuador, this brush-finch sports pale gray plumage and a gentle song. It relies on scrubland habitats, which are shrinking due to agricultural expansion. Conservation programs aim to protect its last remaining populations.
None;Peruvian Pelican;Pelecanus Thagus;NT;Near Threatened;
None;Peruvian Piedtail;Phlogophilus Harterti;NT;Near Threatened;
None;Peruvian Pigeon;Patagioenas Oenops;VU;Vulnerable;
None;Peruvian Plantcutter;Phytotoma Raimondii;VU;Vulnerable;
None;Peruvian Recurvebill;Syndactyla Ucayalae;NT;Near Threatened;
None;Peruvian Solitaire;Cichlopsis Peruviana;NT;Near Threatened;
None;Pesquet'S Parrot;Psittrichas Fulgidus;VU;Vulnerable;
None;Philippine Collared-Dove;Streptopelia Dusumieri;VU;Vulnerable;
None;Philippine Duck;Anas Luzonica;VU;Vulnerable;
None;Philippine Eagle;Pithecophaga Jefferyi;CR;Critically Endangered;
None;Philippine Eagle-Owl;Bubo Philippensis;VU;Vulnerable;
None;Philippine Fairy-Bluebird;Irena Cyanogastra;NT;Near Threatened;
None;Philippine Leafbird;Chloropsis Flavipennis;VU;Vulnerable;
None;Philippine Spinetail;Mearnsia Picina;NT;Near Threatened;
None;Pied Cuckoo-Dove;Reinwardtoena Browni;NT;Near Threatened;
None;Pied Cuckooshrike;Coracina Bicolor;NT;Near Threatened;
None;Pink Pigeon;Nesoenas Mayeri;VU;Vulnerable;
None;Pink-Bellied Imperial-Pigeon;Ducula Poliocephala;NT;Near Threatened;
None;Pink-Billed Parrotfinch;Erythrura Kleinschmidti;VU;Vulnerable;
None;Pink-Footed Shearwater;Ardenna Creatopus;VU;Vulnerable;
None;Pink-Headed Imperial-Pigeon;Ducula Rosacea;NT;Near Threatened;
None;Pink-Legged Graveteiro;Acrobatornis Fonsecai;VU;Vulnerable;
None;Pink-Throated Brilliant;Heliodoxa Gularis;VU;Vulnerable;
None;Pinto'S Spinetail;Synallaxis Infuscata;EN;Endangered;
None;Pinyon Jay;Gymnorhinus Cyanocephalus;VU;Vulnerable;
None;Piping Plover;Charadrius Melodus;NT;Near Threatened;
None;Pirre Hummingbird;Goethalsia Bella;NT;Near Threatened;
None;Pirre Warbler;Basileuterus Ignotus;VU;Vulnerable;
None;Pitcairn Reed-Warbler;Acrocephalus Vaughani;EN;Endangered;
None;Pitt Shag;Phalacrocorax Featherstoni;EN;Endangered;
None;Plain Pigeon;Patagioenas Inornata;NT;Near Threatened;
None;Plain-Backed Kingfisher;Actenoides Regalis;VU;Vulnerable;
None;Plain-Backed Sunbird;Anthreptes Reichenowi;NT;Near Threatened;
None;Plain-Flanked Rail;Rallus Wetmorei;EN;Endangered;
None;Plain-Pouched Hornbill;Rhyticeros Subruficollis;VU;Vulnerable;
None;Plains-Wanderer;Pedionomus Torquatus;CR;Critically Endangered;
None;Plain-Tailed Warbling-Finch;Microspingus Alticola;EN;Endangered;
None;Plate-Billed Mountain-Toucan;Andigena Laminirostris;NT;Near Threatened;
None;Pleske'S Grasshopper-Warbler;Helopsaltes Pleskei;VU;Vulnerable;
None;Plumbeous Antvireo;Dysithamnus Plumbeus;VU;Vulnerable;
None;Plumbeous Forest-Falcon;Micrastur Plumbeus;VU;Vulnerable;
None;Plumbeous Hawk;Cryptoleucopteryx Plumbea;NT;Near Threatened;
None;Pohnpei Kingfisher;Todiramphus Reichenbachii;VU;Vulnerable;
None;Pohnpei Lorikeet;Trichoglossus Rubiginosus;NT;Near Threatened;
None;Pohnpei Starling;Aplonis Pelzelni;CR;Critically Endangered;
None;Pollen'S Vanga;Xenopirostris Polleni;NT;Near Threatened;
None;Peruvian Tern;Sternula Lorata;EN;Endangered;With delicate white feathers and a sleek black cap, this tern dances over Peru's coastal waters with effortless grace. Its sharp, high-pitched calls punctuate the air as it searches for fish. Coastal development and overfishing have dramatically reduced its breeding sites.
None;Polynesian Imperial-Pigeon;Ducula Aurorae;EN;Endangered;
None;Prigogine'S Double-Collared Sunbird;Cinnyris Prigoginei;NT;Near Threatened;
None;Prigogine'S Greenbul;Chlorocichla Prigoginei;EN;Endangered;
None;Prigogine'S Nightjar;Caprimulgus Prigoginei;EN;Endangered;
None;Phoenix Petrel;Pterodroma Alba;EN;Endangered;Gliding over the Pacific Ocean, this seabird has sleek, dark plumage and a haunting cry. It nests on remote islands, where it faces threats from invasive predators and rising sea levels. Conservationists work tirelessly to secure its nesting sites.
None;Princess Parrot;Polytelis Alexandrae;NT;Near Threatened;
None;Rufous-Headed Hornbill;Rhabdotorrhinus Waldeni;CR;Critically Endangered;Endemic to the Philippines, this bird features a vibrant rufous crown and massive curved bill. Forest destruction and hunting have pushed it to the brink of extinction.
None;Principe Thrush;Turdus Xanthorhynchus;CR;Critically Endangered;
None;Protea Canary;Crithagra Leucoptera;NT;Near Threatened;
None;Providence Petrel;Pterodroma Solandri;VU;Vulnerable;
None;Puaiohi;Myadestes Palmeri;CR;Critically Endangered;
None;Puerto Rican Amazon;Amazona Vittata;CR;Critically Endangered;
None;Puff-Backed Bulbul;Euptilotus Eutilotus;NT;Near Threatened;
None;Pulitzer'S Longbill;Macrosphenus Pulitzeri;EN;Endangered;
None;Puna Flamingo;Phoenicoparrus Jamesi;NT;Near Threatened;
Andes;Puna Rhea;Rhea Tarapacensis;NT;Near Threatened;
None;Puna Thistletail;Asthenes Helleri;VU;Vulnerable;
None;Purple Quail-Dove;Geotrygon Purpurata;EN;Endangered;
None;Purple-Backed Sunbeam;Aglaeactis Aliciae;VU;Vulnerable;
None;Purple-Chinned Starling;Aplonis Circumscripta;NT;Near Threatened;
None;Purple-Naped Lory;Lorius Domicella;EN;Endangered;
None;Purple-Winged Ground-Dove;Paraclaravis Geoffroyi;CR;Critically Endangered;
None;Purplish-Mantled Tanager;Iridosornis Porphyrocephalus;NT;Near Threatened;
None;Pycroft'S Petrel;Pterodroma Pycrofti;VU;Vulnerable;
None;Rück'S Blue-Flycatcher;Cyornis Ruckii;CR;Critically Endangered;
None;Rüppell'S Vulture;Gyps Rueppelli;CR;Critically Endangered;
None;Raiatea Fruit-Dove;Ptilinopus Chrysogaster;EN;Endangered;
None;Rail-Babbler;Eupetes Macrocerus;NT;Near Threatened;
None;Ranongga White-Eye;Zosterops Splendidus;VU;Vulnerable;
None;Rapa Fruit-Dove;Ptilinopus Huttoni;CR;Critically Endangered;
None;Rapa Shearwater;Puffinus Myrtae;CR;Critically Endangered;
None;Rarotonga Fruit-Dove;Ptilinopus Rarotongensis;NT;Near Threatened;
None;Rarotonga Monarch;Pomarea Dimidiata;VU;Vulnerable;
None;Rarotonga Starling;Aplonis Cinerascens;VU;Vulnerable;
None;Saipan Reed-Warbler;Acrocephalus Hiwae;CR;Critically Endangered;A delicate songbird from Saipan, its soft brown plumage blended seamlessly with the island's reeds. Habitat destruction and invasive predators have rendered it critically endangered.
None;Raso Lark;Alauda Razae;CR;Critically Endangered;
None;Razor-Billed Curassow;Mitu Tuberosum;NT;Near Threatened;
None;Recurve-Billed Bushbird;Clytoctantes Alixii;EN;Endangered;
None;Red Bird-Of-Paradise;Paradisaea Rubra;NT;Near Threatened;
None;Red Goshawk;Erythrotriorchis Radiatus;NT;Near Threatened;
None;Red Knot;Calidris Canutus;NT;Near Threatened;
None;Pohnpei Cicadabird;Edolisoma Insperatum;EN;Endangered;A quiet inhabitant of Micronesia, this bird is named for its insect-like call. It flits among the dense rainforest canopy, hunting for small insects. Logging and habitat destruction are major threats to its survival.
None;Red Lark;Calendulauda Burra;VU;Vulnerable;
None;Red-And-Black Thrush;Geokichla Mendeni;NT;Near Threatened;
None;Polynesian Storm-Petrel;Nesofregetta Fuliginosa;EN;Endangered;This elusive seabird, with its dark plumage and rapid wingbeats, is a mystery to ornithologists. It nests on tiny islets in the Pacific, often in burrows. Invasive predators and climate change threaten its future.
None;Red-And-Blue Lory;Eos Histrio;EN;Endangered;
None;Red-Backed Thrush;Geokichla Erythronota;NT;Near Threatened;
None;Red-Bellied Grackle;Hypopyrrhus Pyrohypogaster;VU;Vulnerable;
None;Red-Billed Toucan;Ramphastos Tucanus;VU;Vulnerable;
None;Red-Billed Tyrannulet;Zimmerius Cinereicapilla;VU;Vulnerable;
None;Red-Breasted Goose;Branta Ruficollis;VU;Vulnerable;
None;Red-Breasted Parakeet;Psittacula Alexandri;NT;Near Threatened;
None;Red-Browed Amazon;Amazona Rhodocorytha;VU;Vulnerable;
None;Red-Cockaded Woodpecker;Leuconotopicus Borealis;NT;Near Threatened;
None;Red-Collared Mountain-Babbler;Kupeornis Rufocinctus;EN;Endangered;
None;Principe White-Eye;Zosterops Ficedulinus;EN;Endangered;This small, brightly colored bird, with its green plumage and striking white eye-ring, is a treasure of Principe Island. Its high-pitched chirps punctuate the forest canopy, where it forages for insects. Logging and habitat loss have pushed this bird to the edge of extinction.
None;Puerto Rican Nightjar;Antrostomus Noctitherus;EN;Endangered;This elusive bird, with dark brown plumage and a speckled pattern for camouflage, is a master of the night. Its soft, repetitive 'churring' call fills Puerto Rico's dry forests, a sound tied to local lore. Deforestation and hurricanes have severely impacted its already small population.
None;Red-Collared Woodpecker;Picus Rabieri;NT;Near Threatened;
None;Red-Crowned Amazon;Amazona Viridigenalis;EN;Endangered;
None;Red-Crowned Barbet;Psilopogon Rafflesii;NT;Near Threatened;
None;Red-Crowned Crane;Grus Japonensis;VU;Vulnerable;
None;Reddish Egret;Egretta Rufescens;NT;Near Threatened;
None;Reddish Scops-Owl;Otus Rufescens;NT;Near Threatened;
None;Red-Faced Barbet;Lybius Rubrifacies;NT;Near Threatened;
None;Red-Faced Malkoha;Phaenicophaeus Pyrrhocephalus;VU;Vulnerable;
None;Red-Footed Falcon;Falco Vespertinus;VU;Vulnerable;
None;Red-Fronted Antpecker;Parmoptila Rubrifrons;NT;Near Threatened;
None;Red-Fronted Macaw;Ara Rubrogenys;CR;Critically Endangered;
None;Red-Fronted Parrotlet;Touit Costaricensis;NT;Near Threatened;
None;Red-Headed Falcon;Falco Chicquera;NT;Near Threatened;
None;Red-Headed Flameback;Chrysocolaptes Erythrocephalus;EN;Endangered;
None;Red-Headed Parrotfinch;Erythrura Cyaneovirens;NT;Near Threatened;
None;Red-Headed Vulture;Sarcogyps Calvus;CR;Critically Endangered;
None;Red-Legged Cormorant;Poikilocarbo Gaimardi;NT;Near Threatened;
None;Red-Legged Kittiwake;Rissa Brevirostris;VU;Vulnerable;
None;Red-Legged Partridge;Alectoris Rufa;NT;Near Threatened;
None;Red-Lored Whistler;Pachycephala Rufogularis;VU;Vulnerable;
None;Red-Masked Parakeet;Psittacara Erythrogenys;NT;Near Threatened;
None;Red-Naped Fruit-Dove;Ptilinopus Dohertyi;VU;Vulnerable;
None;Red-Naped Trogon;Harpactes Kasumba;NT;Near Threatened;
None;Red-Necked Amazon;Amazona Arausiaca;VU;Vulnerable;
None;Red-Necked Stint;Calidris Ruficollis;NT;Near Threatened;
None;Red-Shouldered Vanga;Calicalicus Rufocarpalis;VU;Vulnerable;
None;Red-Spectacled Amazon;Amazona Pretrei;VU;Vulnerable;
None;Red-Tailed Amazon;Amazona Brasiliensis;NT;Near Threatened;
None;Red-Tailed Newtonia;Newtonia Fanovanae;VU;Vulnerable;
None;Red-Throated Barbet;Psilopogon Mystacophanos;NT;Near Threatened;
None;Red-Throated Lorikeet;Charmosyna Amabilis;CR;Critically Endangered;
None;Red-Throated Piping-Guan;Pipile Cujubi;VU;Vulnerable;
None;Red Siskin;Spinus Cucullatus;EN;Endangered;This vibrant red songbird, with contrasting black wings, has long been admired for its beauty. Its cheerful, melodic chirping once filled the air across northern South America but is now silenced in many areas due to trapping for the pet trade. Efforts to restore its population are ongoing but face many challenges.
None;Red-Throated Sunbird;Anthreptes Rhodolaemus;NT;Near Threatened;
None;Redwing;Turdus Iliacus;NT;Near Threatened;
None;Reed Parrotbill;Paradoxornis Heudei;NT;Near Threatened;
None;Reeves'S Pheasant;Syrmaticus Reevesii;VU;Vulnerable;
None;Regent Honeyeater;Anthochaera Phrygia;CR;Critically Endangered;
None;Reichenow'S Batis;Batis Reichenowi;NT;Near Threatened;
None;Relict Gull;Larus Relictus;VU;Vulnerable;
None;Rennell Shrikebill;Clytorhynchus Hamlini;NT;Near Threatened;
None;Rennell Whistler;Pachycephala Feminina;NT;Near Threatened;
None;Resplendent Quetzal;Pharomachrus Mocinno;NT;Near Threatened;
None;Reunion Bulbul;Hypsipetes Borbonicus;NT;Near Threatened;
None;Reunion Marsh-Harrier;Circus Maillardi;EN;Endangered;
None;Ua Pou Monarch;Pomarea Mira;CR (PE);Critically Endangered (Possibly Extinct);A unique monarch flycatcher from French Polynesia, its fate was sealed by habitat degradation and introduced predators.
None;Red-Billed Curassow;Crax Blumenbachii;EN;Endangered;This large, turkey-like bird from Brazil has glossy black feathers and a distinctive red bill. It forages for fruit on the forest floor, playing a crucial role in seed dispersal. Hunting and habitat destruction have reduced its numbers dramatically.
